,date,open,close,high,low,volume,code
0,2007-03-01,22.074,20.657,22.503,20.22,1977633.51,601318
1,2007-03-02,20.75,20.489,20.944,20.256,425048.32,601318
2,2007-03-05,20.3,19.593,20.384,19.218,419196.74,601318
3,2007-03-06,19.426,19.977,20.308,19.315,297727.88,601318
4,2007-03-07,19.995,20.52,20.706,19.827,287463.78,601318
5,2007-03-08,20.353,20.273,20.454,20.167,130983.83,601318
6,2007-03-09,20.264,20.101,20.353,19.735,160887.79,601318
7,2007-03-12,19.999,19.739,19.999,19.646,145353.06,601318
8,2007-03-13,19.783,19.818,19.982,19.699,102319.68,601318
9,2007-03-14,19.558,19.841,19.911,19.333,173306.56,601318
10,2007-03-15,20.097,19.849,20.525,19.779,152521.9,601318
11,2007-03-16,19.863,19.96,20.286,19.602,227547.24,601318
12,2007-03-20,20.662,20.211,20.715,20.088,222026.87,601318
13,2007-03-21,20.22,19.911,20.308,19.823,136728.32,601318
14,2007-03-22,20.066,20.026,20.273,19.969,167509.84,601318
15,2007-03-23,20.017,19.938,20.101,19.739,139810.14,601318
16,2007-03-26,19.955,20.282,20.397,19.946,223266.79,601318
17,2007-03-27,20.216,20.269,20.467,20.145,139338.19,601318
18,2007-03-28,20.264,20.565,20.706,20.123,258263.69,601318
19,2007-03-29,20.666,20.927,21.54,20.52,461986.18,601318
20,2007-03-30,20.732,20.772,21.134,20.626,144617.2,601318
21,2007-04-02,20.772,21.364,21.501,20.772,231445.03,601318
22,2007-04-03,21.377,21.284,21.527,21.147,132712.04,601318
23,2007-04-04,21.289,21.099,21.412,20.993,122454.69,601318
24,2007-04-05,21.103,21.156,21.191,20.838,122865.38,601318
25,2007-04-06,21.05,21.196,21.611,20.971,195208.52,601318
26,2007-04-09,21.231,22.785,22.909,21.059,462770.21,601318
27,2007-04-10,22.516,23.319,23.699,22.516,407823.9,601318
28,2007-04-11,23.346,23.637,24.361,23.222,243446.5,601318
29,2007-04-12,23.832,23.593,25.606,23.377,159270.43,601318
30,2007-04-13,23.885,24.295,24.918,23.84,266689.45,601318
31,2007-04-16,24.573,24.909,24.966,24.573,146972.27,601318
32,2007-04-17,24.922,24.348,25.174,23.664,197243.88,601318
33,2007-04-18,24.273,23.801,24.322,23.575,130322.35,601318
34,2007-04-19,23.62,22.949,23.973,22.167,205586.7,601318
35,2007-04-20,23.249,24.432,24.9,23.121,185690.28,601318
36,2007-04-23,24.445,25.156,25.416,24.229,146934.59,601318
37,2007-04-24,25.602,24.644,25.611,24.613,160472.87,601318
38,2007-04-25,24.335,25.037,25.474,24.242,145938.47,601318
39,2007-04-26,24.979,25.831,25.907,24.979,184961.32,601318
40,2007-04-27,25.849,28.079,28.414,25.739,389838.64,601318
41,2007-04-30,27.902,29.072,29.946,27.54,204190.44,601318
42,2007-05-08,29.933,29.015,30.012,28.697,132325.58,601318
43,2007-05-09,28.476,29.015,29.491,27.814,111812.7,601318
